2024-04-10, Basapuram ( Public Funded ) ,4542,HCM/EME,235.0,355.0,7895.0,120.0
2024-04-10, Basapuram ( Public Funded ) ,4542,7 or more Axle,290.0,430.0,9610.0,145.0
2024-04-10, Brahmanapalli ( Public Funded ) ,4495,Car/Jeep/Van,60.0,90.0,1960.0,30.0
2024-04-10, Brahmanapalli ( Public Funded ) ,4495,LCV,145.0,50.0,3165.0,95.0
2024-04-10, Brahmanapalli ( Public Funded ) ,4495,Bus/Truck,200.0,300.0,6635.0,100.0
2024-04-10, Brahmanapalli ( Public Funded ) ,4495,Upto 3 Axle Vehicle,215.0,325.0,7240.0,110.0
2024-04-10, Brahmanapalli ( Public Funded ) ,4495,4 to 6 Axle,310.0,470.0,10405.0,155.0
2024-04-10, Brahmanapalli ( Public Funded ) ,4495,HCM/EME,310.0,470.0,10405.0,155.0
2024-04-10, Brahmanapalli ( Public Funded ) ,4495,7 or more Axle,380.0,570.0,12665.0,190.0
2024-04-10, Buchireddypalem ( Public Funded ) ,4557,Car/Jeep/Van,40.0,60.0,1305.0,20.0
2024-04-10, Buchireddypalem ( Public Funded ) ,4557,LCV,65.0,95.0,2110.0,30.0
2024-04-10, Buchireddypalem ( Public Funded ) ,4557,Bus/Truck,135.0,200.0,4415.0,65.0
2024-04-10, Buchireddypalem ( Public Funded ) ,4557,Upto 3 Axle Vehicle,145.0,215.0,4820.0,70.0
2024-04-10, Buchireddypalem ( Public Funded ) ,4557,4 to 6 Axle,210.0,310.0,6925.0,105.0
2024-04-10, Buchireddypalem ( Public Funded ) ,4557,HCM/EME,210.0,310.0,6925.0,105.0
2024-04-10, Buchireddypalem ( Public Funded ) ,4557,7 or more Axle,255.0,380.0,8430.0,125.0
2024-04-10, Chagalmarri ( BOT (Toll) ) ,452,Car/Jeep/Van,85.0,130.0,2865.0,
2024-04-10, Chagalmarri ( BOT (Toll) ) ,452,LCV,140.0,210.0,4630.0,
2024-04-10, Chagalmarri ( BOT (Toll) ) ,452,Bus/Truck,290.0,435.0,9700.0,
2024-04-10, Chagalmarri ( BOT (Toll) ) ,452,Upto 3 Axle Vehicle,455.0,685.0,15210.0,
2024-04-10, Chagalmarri ( BOT (Toll) ) ,452,4 to 6 Axle,455.0,685.0,15210.0,
2024-04-10, Chagalmarri ( BOT (Toll) ) ,452,HCM/EME,455.0,685.0,15210.0,230.0
2024-04-10, Chagalmarri ( BOT (Toll) ) ,452,7 or more Axle,555.0,835.0,18515.0,
2024-04-10, Budhanam ( BOT (Toll) ) ,229,Car/Jeep/Van,50.0,10.0,25.0,
2024-04-10, Budhanam ( BOT (Toll) ) ,229,Bus/Truck,170.0,,85.0,
2024-04-10, Budhanam ( BOT (Toll) ) ,229,Upto 3 Axle Vehicle,370.0,,185.0,
2024-04-10, Budhanam ( BOT (Toll) ) ,229,HCM/EME,185.0,,,
2024-04-10, Chapirevula ( BOT (Toll) ) ,5876,Car/Jeep/Van,125.0,190.0,4180.0,
2024-04-10, Chapirevula ( BOT (Toll) ) ,5876,LCV,195.0,295.0,6550.0,
2024-04-10, Chapirevula ( BOT (Toll) ) ,5876,Bus/Truck,405.0,605.0,13460.0,
2024-04-10, Chapirevula ( BOT (Toll) ) ,5876,Upto 3 Axle Vehicle,620.0,930.0,20710.0,
2024-04-10, Chapirevula ( BOT (Toll) ) ,5876,4 to 6 Axle,620.0,930.0,20710.0,
2024-04-10, Chapirevula ( BOT (Toll) ) ,5876,HCM/EME,620.0,930.0,20710.0,310.0
2024-04-10, Chapirevula ( BOT (Toll) ) ,5876,7 or more Axle,785.0,1180.0,26180.0,
2024-04-10, Chinaganjam Toll Plaza ( Public Funded ) ,6632,Car/Jeep/Van,65.0,100.0,2240.0,35.0
2024-04-10, Chinaganjam Toll Plaza ( Public Funded ) ,6632,LCV,110.0,165.0,3615.0,55.0
2024-04-10, Chinaganjam Toll Plaza ( Public Funded ) ,6632,Bus/Truck,225.0,340.0,7580.0,115.0
2024-04-10, Chinaganjam Toll Plaza ( Public Funded ) ,6632,Upto 3 Axle Vehicle,250.0,370.0,8265.0,125.0
2024-04-10, Chinaganjam Toll Plaza ( Public Funded ) ,6632,4 to 6 Axle,355.0,535.0,11885.0,180.0
2024-04-10, Chinaganjam Toll Plaza ( Public Funded ) ,6632,HCM/EME,355.0,535.0,11885.0,180.0
2024-04-10, Chinaganjam Toll Plaza ( Public Funded ) ,6632,7 or more Axle,435.0,650.0,14465.0,215.0
2024-04-10, Chitimiti Chintala ( Public Funded ) ,5698,Car/Jeep/Van,30.0,45.0,1010.0,15.0
2024-04-10, Chitimiti Chintala ( Public Funded ) ,5698,LCV,50.0,75.0,1635.0,25.0
2024-04-10, Chitimiti Chintala ( Public Funded ) ,5698,Bus/Truck,105.0,155.0,3425.0,50.0
2024-04-10, Chitimiti Chintala ( Public Funded ) ,5698,Upto 3 Axle Vehicle,110.0,170.0,3735.0,55.0
2024-04-10, Chitimiti Chintala ( Public Funded ) ,5698,4 to 6 Axle,160.0,240.0,5370.0,80.0
2024-04-10, Chitimiti Chintala ( Public Funded ) ,5698,HCM/EME,160.0,240.0,5370.0,80.0
2024-04-10, Chitimiti Chintala ( Public Funded ) ,5698,7 or more Axle,195.0,295.0,6535.0,100.0
2024-04-10, Danamaiahgari palli ( Public Funded ) ,6607,Car/Jeep/Van,70.0,110.0,2395.0,35.0
2024-04-10, Danamaiahgari palli ( Public Funded ) ,6607,LCV,115.0,175.0,3870.0,60.0
2024-04-10, Danamaiahgari palli ( Public Funded ) ,6607,Bus/Truck,245.0,365.0,8105.0,120.0
2024-04-10, Danamaiahgari palli ( Public Funded ) ,6607,Upto 3 Axle Vehicle,265.0,400.0,8845.0,135.0
2024-04-10, Danamaiahgari palli ( Public Funded ) ,6607,4 to 6 Axle,380.0,570.0,12715.0,190.0
2024-04-10, Danamaiahgari palli ( Public Funded ) ,6607,HCM/EME,380.0,570.0,12715.0,190.0
2024-04-10, Danamaiahgari palli ( Public Funded ) ,6607,7 or more Axle,465.0,695.0,15475.0,230.0
2024-04-10, Davuluru ( Public Funded ) ,4578,Car/Jeep/Van,125.0,190.0,4175.0,65.0
2024-04-10, Davuluru ( Public Funded ) ,4578,LCV,200.0,305.0,6745.0,100.0
2024-04-10, Davuluru ( Public Funded ) ,4578,Bus/Truck,425.0,635.0,14135.0,210.0
2024-04-10, Davuluru ( Public Funded ) ,4578,Upto 3 Axle Vehicle,465.0,695.0,15420.0,230.0
2024-04-10, Davuluru ( Public Funded ) ,4578,4 to 6 Axle,665.0,1000.0,22170.0,335.0
2024-04-10, Davuluru ( Public Funded ) ,4578,HCM/EME,665.0,1000.0,22170.0,335.0
2024-04-10, Davuluru ( Public Funded ) ,4578,7 or more Axle,810.0,1215.0,26990.0,405.0
2024-04-10, Dukkavanipalem ( Public Funded ) ,5928,Car/Jeep/Van,40.0,40.0,865.0,15.0
